y,wheel_1,wheel_2,wheel_3,ratios
0,-1.0,-1.0,2.0,-1.00:-1.00:2.00
1,-1.0,-1.0623492996921287,2.0623492996921287,-1.00:-1.06:2.06
2,-1.0,-1.1287528764903378,2.128752876490338,-1.00:-1.13:2.13
3,-1.0,-1.1996641136875839,2.1996641136875836,-1.00:-1.20:2.20
4,-1.0,-1.275606013338937,2.275606013338937,-1.00:-1.28:2.28
5,-1.0,-1.3571851225233844,2.357185122523384,-1.00:-1.36:2.36
6,-1.0,-1.4451089409106883,2.4451089409106883,-1.00:-1.45:2.45
7,-1.0,-1.5402078691331937,2.5402078691331935,-1.00:-1.54:2.54
8,-1.0,-1.6434631427220365,2.6434631427220365,-1.00:-1.64:2.64
9,-1.0,-1.7560427467323443,2.7560427467323443,-1.00:-1.76:2.76
10,-1.0,-1.8793481042024474,2.8793481042024474,-1.00:-1.88:2.88
11,-1.0,-2.015075507607771,3.015075507607771,-1.00:-2.02:3.02
12,-1.0,-2.165298026469818,3.165298026469818,-1.00:-2.17:3.17
13,-1.0,-2.3325763221225957,3.3325763221225957,-1.00:-2.33:3.33
14,-1.0,-2.520111015947953,3.520111015947953,-1.00:-2.52:3.52
15,-1.0,-2.731956001763074,3.731956001763074,-1.00:-2.73:3.73
16,-1.0,-2.973323172857485,3.9733231728574845,-1.00:-2.97:3.97
17,-1.0,-3.251027784202129,4.25102778420213,-1.00:-3.25:4.25
18,-1.0,-3.574156482044314,4.574156482044314,-1.00:-3.57:4.57
19,-1.0,-3.9550996889469032,4.955099688946903,-1.00:-3.96:4.96
20,-1.0,-4.411203374527416,5.411203374527416,-1.00:-4.41:5.41
21,-1.0,-4.967521917382906,5.967521917382905,-1.00:-4.97:5.97
22,-1.0,-5.661635425353678,6.661635425353678,-1.00:-5.66:6.66
23,-1.0,-6.552595757853756,7.552595757853756,-1.00:-6.55:7.55
24,-1.0,-7.738817485158122,8.73881748515812,-1.00:-7.74:8.74
25,-1.0,-9.39743487387076,10.397434873870761,-1.00:-9.40:10.40
26,-1.0,-11.882683610769568,12.882683610769568,-1.00:-11.88:12.88
27,-1.0,-16.020998251628345,17.020998251628345,-1.00:-16.02:17.02
28,-1.0,-24.29107998319971,25.29107998319971,-1.00:-24.29:25.29
29,-1.0,-49.07922171829163,50.07922171829163,-1.00:-49.08:50.08
30,0.0,0.0,0.0,0.00:0.00:0.00
31,1.0,-50.151410536013444,49.151410536013444,1.00:-50.15:49.15
32,1.0,-25.30909968096344,24.309099680963435,1.00:-25.31:24.31
33,1.0,-17.028986637591263,16.028986637591263,1.00:-17.03:16.03
34,1.0,-12.887161040299826,11.887161040299826,1.00:-12.89:11.89
35,1.0,-10.400287234778917,9.400287234778917,1.00:-10.40:9.40
36,1.0,-8.740787095497508,7.740787095497507,1.00:-8.74:7.74
37,1.0,-7.554033100307645,6.554033100307645,1.00:-7.55:6.55
38,1.0,-6.662727308433565,5.662727308433565,1.00:-6.66:5.66
39,1.0,-5.96837695768331,4.96837695768331,1.00:-5.97:4.97
40,1.0,-5.411889005673888,4.4118890056738875,1.00:-5.41:4.41
41,1.0,-4.955659979626066,3.9556599796260663,1.00:-4.96:3.96
42,1.0,-4.574621444214982,3.5746214442149817,1.00:-4.57:3.57
43,1.0,-4.251418561617381,3.2514185616173816,1.00:-4.25:3.25
44,1.0,-3.9736550902207766,2.9736550902207766,1.00:-3.97:2.97
